id,category,category_source,source_labels
ADAL,neuron,wormatlas_cook_2019_via_cect,ADAL
ADAR,neuron,wormatlas_cook_2019_via_cect,ADAR
ADEL,neuron,wormatlas_cook_2019_via_cect,ADEL
ADER,neuron,wormatlas_cook_2019_via_cect,ADER
ADFL,neuron,wormatlas_cook_2019_via_cect,ADFL
ADFR,neuron,wormatlas_cook_2019_via_cect,ADFR
ADLL,neuron,wormatlas_cook_2019_via_cect,ADLL
ADLR,neuron,wormatlas_cook_2019_via_cect,ADLR
AFDL,neuron,wormatlas_cook_2019_via_cect,AFDL
AFDR,neuron,wormatlas_cook_2019_via_cect,AFDR
AIAL,neuron,wormatlas_cook_2019_via_cect,AIAL
AIAR,neuron,wormatlas_cook_2019_via_cect,AIAR
AIBL,neuron,wormatlas_cook_2019_via_cect,AIBL
AIBR,neuron,wormatlas_cook_2019_via_cect,AIBR
AIML,neuron,wormatlas_cook_2019_via_cect,AIML
AIMR,neuron,wormatlas_cook_2019_via_cect,AIMR
AINL,neuron,wormatlas_cook_2019_via_cect,AINL
AINR,neuron,wormatlas_cook_2019_via_cect,AINR
AIYL,neuron,wormatlas_cook_2019_via_cect,AIYL
AIYR,neuron,wormatlas_cook_2019_via_cect,AIYR
AIZL,neuron,wormatlas_cook_2019_via_cect,AIZL
AIZR,neuron,wormatlas_cook_2019_via_cect,AIZR
ALA,neuron,wormatlas_cook_2019_via_cect,ALA
ALML,neuron,wormatlas_cook_2019_via_cect,ALML
ALMR,neuron,wormatlas_cook_2019_via_cect,ALMR
ALNL,neuron,wormatlas_cook_2019_via_cect,ALNL
ALNR,neuron,wormatlas_cook_2019_via_cect,ALNR
AQR,neuron,wormatlas_cook_2019_via_cect,AQR
AS1,neuron,wormatlas_cook_2019_via_cect,AS01
AS10,neuron,wormatlas_cook_2019_via_cect,AS10
AS11,neuron,wormatlas_cook_2019_via_cect,AS11
AS2,neuron,wormatlas_cook_2019_via_cect,AS02
AS3,neuron,wormatlas_cook_2019_via_cect,AS03
AS4,neuron,wormatlas_cook_2019_via_cect,AS04
AS5,neuron,wormatlas_cook_2019_via_cect,AS05
AS6,neuron,wormatlas_cook_2019_via_cect,AS06
AS7,neuron,wormatlas_cook_2019_via_cect,AS07
AS8,neuron,wormatlas_cook_2019_via_cect,AS08
AS9,neuron,wormatlas_cook_2019_via_cect,AS09
ASEL,neuron,wormatlas_cook_2019_via_cect,ASEL
ASER,neuron,wormatlas_cook_2019_via_cect,ASER
ASGL,neuron,wormatlas_cook_2019_via_cect,ASGL
ASGR,neuron,wormatlas_cook_2019_via_cect,ASGR
ASHL,neuron,wormatlas_cook_2019_via_cect,ASHL
ASHR,neuron,wormatlas_cook_2019_via_cect,ASHR
ASIL,neuron,wormatlas_cook_2019_via_cect,ASIL
ASIR,neuron,wormatlas_cook_2019_via_cect,ASIR
ASJL,neuron,wormatlas_cook_2019_via_cect,ASJL
ASJR,neuron,wormatlas_cook_2019_via_cect,ASJR
ASKL,neuron,wormatlas_cook_2019_via_cect,ASKL
ASKR,neuron,wormatlas_cook_2019_via_cect,ASKR
AUAL,neuron,wormatlas_cook_2019_via_cect,AUAL
AUAR,neuron,wormatlas_cook_2019_via_cect,AUAR
AVAL,neuron,wormatlas_cook_2019_via_cect,AVAL
AVAR,neuron,wormatlas_cook_2019_via_cect,AVAR
AVBL,neuron,wormatlas_cook_2019_via_cect,AVBL
